pkg_received_utc_ts,package_tracking_number,scac,Pallet
28,TLMD220049804891,TLMD,1
28,TLMD220049803507,TLMD,1
28,TLMD220049714630,TLMD,1
28,7.40045E+11,FDEG,1
28,TLMD220049905979,TLMD,1
28,TLMD220049751644,TLMD,1
28,TLMD220049754007,TLMD,1
28,TLMD220049753204,TLMD,1
28,7.40045E+11,FDEG,1
28,TLMD220049713015,TLMD,1
28,7.40045E+11,FDEG,1
28,7.40045E+11,FDEG,1
28,TLMD220049787017,TLMD,1
28,TLMD220049905273,TLMD,1
28,7.40045E+11,FDEG,1
28,TLMD220049711526,TLMD,1
28,7.40044E+11,FDEG,1
28,TLMD220049899236,TLMD,1
28,9261290982841710226975,USPS,1
28,7.40045E+11,FDEG,1
28,TLMD220049791217,TLMD,1
28,TLMD220049709280,TLMD,1
28,TLMD220049711731,TLMD,1
28,TLMD220049710358,TLMD,1
28,TLMD220049751395,TLMD,1
28,TLMD220049911186,TLMD,1
28,TLMD220049790745,TLMD,1
28,TLMD220049714952,TLMD,1
28,TLMD220049896748,TLMD,1
28,TLMD220049756247,TLMD,1
28,TLMD220049900563,TLMD,1
28,TLMD220049752045,TLMD,1
28,TLMD220049901384,TLMD,1
28,7.40045E+11,FDEG,1
28,7.40045E+11,FDEG,1
28,TLMD220049798345,TLMD,1
28,TLMD220049709557,TLMD,1
28,7.40044E+11,FDEG,1
28,TLMD220049752876,TLMD,1
28,TLMD220049907128,TLMD,1
28,TLMD220049908967,TLMD,1
28,TLMD220049705597,TLMD,1
28,7.40045E+11,FDEG,1
28,TLMD220049752607,TLMD,1
28,TLMD220049900956,TLMD,1
28,TLMD220049752376,TLMD,1
28,TLMD220049900269,TLMD,1
28,TLMD220049796703,TLMD,1
28,7.40045E+11,FDEG,1
28,1Z1A10F6YW41129789,UPSN,1
28,TLMD220049897256,TLMD,1
28,9261290982841710226999,USPS,1
28,TLMD220049705122,TLMD,1
28,TLMD220049759422,TLMD,1
28,TLMD220049795062,TLMD,1
28,TLMD220049788196,TLMD,1
28,9261290982841710227026,USPS,1
28,TLMD220049789917,TLMD,1
28,TLMD220049802606,TLMD,1
28,TLMD220049805078,TLMD,1
28,1Z1A10F6YW41129805,UPSN,1
28,7.40044E+11,FDEG,1
28,9261290982841710227019,USPS,1
28,TLMD220049788696,TLMD,1
28,TLMD220049787704,TLMD,1
28,TLMD220049758503,TLMD,1
28,TLMD220049757951,TLMD,1
28,7.40044E+11,FDEG,1
28,TLMD220049902016,TLMD,1
28,TLMD220049899843,TLMD,1
28,TLMD220049758870,TLMD,1
28,TLMD220049712785,TLMD,1
28,9261290982841710226982,USPS,1
28,9261290982841710227002,USPS,1
28,7.40045E+11,FDEG,1
28,TLMD220049750725,TLMD,1
28,1Z1A10F6YW41129798,UPSN,1
28,TLMD220049756676,TLMD,1
28,TLMD220049791637,TLMD,1
28,7.40045E+11,FDEG,1
28,TLMD220049753464,TLMD,1
28,TLMD220049789266,TLMD,1
28,7.40045E+11,FDEG,1
28,TLMD220049910570,TLMD,1
28,TLMD220049804248,TLMD,1
28,TLMD220049795991,TLMD,1
28,TLMD220049706541,TLMD,1
29,TLMD220049703473,TLMD,2
29,TLMD220049692468,TLMD,2
29,TLMD220049695214,TLMD,2
29,TLMD220049691174,TLMD,2
29,7.40044E+11,FDEG,2
29,7.40044E+11,FDEG,2
29,TLMD220049691629,TLMD,2
29,1Z1A10F60341129778,UPSN,2
29,TLMD220049693887,TLMD,2
29,TLMD220049695027,TLMD,2
29,TLMD220049703151,TLMD,2
29,TLMD220049701108,TLMD,2
29,TLMD220049691352,TLMD,2
29,TLMD220049701626,TLMD,2
29,TLMD220049703848,TLMD,2
29,TLMD220049702054,TLMD,2
29,TLMD220049694868,TLMD,2
29,TLMD220049691905,TLMD,2
29,TLMD220049692753,TLMD,2
29,TLMD220049693529,TLMD,2
29,TLMD220049693396,TLMD,2
29,TLMD220049691772,TLMD,2
29,TLMD220049703786,TLMD,2
29,1Z1A10F60341129769,UPSN,2
29,TLMD220049696213,TLMD,2
29,TLMD220049702312,TLMD,2
29,TLMD220049694966,TLMD,2
30,TLMD183249915977,TLMD,3
30,TLMD183249915422,TLMD,3
30,TLMD183249917911,TLMD,3
30,7.40045E+11,FDEG,3
30,TLMD183249898040,TLMD,3
30,TLMD183249895892,TLMD,3
30,7.40045E+11,FDEG,3
30,7.40045E+11,FDEG,3
30,TLMD183249916949,TLMD,3
30,7.40045E+11,FDEG,3
30,7.40045E+11,FDEG,3
30,TLMD183249904694,TLMD,3
30,7.40045E+11,FDEG,3
30,TLMD183249917126,TLMD,3
30,TLMD183249896104,TLMD,3
30,7.40045E+11,FDEG,3
30,TLMD183249913737,TLMD,3
30,TLMD183249903711,TLMD,3
31,1Z300FX3YW43259990,UPSN,4
31,TLMD183249907379,TLMD,4
31,TLMD183249899772,TLMD,4
31,TLMD61949770847,TLMD,4
31,9261290982842910209508,USPS,4
31,7.40045E+11,FDEG,4
31,7.40045E+11,FDEG,4
31,TLMD183249903364,TLMD,4
31,9261290982842910209560,USPS,4
31,7.40045E+11,FDEG,4
31,9261290982842910209454,USPS,4
31,7.40045E+11,FDEG,4
31,7.40045E+11,FDEG,4
31,TLMD183249913059,TLMD,4
31,TLMD183249914110,TLMD,4
31,TLMD183249896560,TLMD,4
31,7.40044E+11,FDEG,4
31,TLMD183249756596,TLMD,4
31,TLMD183249897970,TLMD,4
31,TLMD183249917984,TLMD,4
31,TLMD183249918447,TLMD,4
31,TLMD183249916458,TLMD,4
31,TLMD183249900938,TLMD,4
31,TLMD183249914487,TLMD,4
31,7.40045E+11,FDEG,4
31,7.40044E+11,FDEG,4
31,7.40045E+11,FDEG,4
31,TLMD61949693574,TLMD,4
31,9261290982842910209539,USPS,4
31,TLMD183249898362,TLMD,4
31,TLMD61949711026,TLMD,4
31,TLMD183249733879,TLMD,4
31,9261290982842910209546,USPS,4
31,TLMD183249904747,TLMD,4
31,TLMD183249893161,TLMD,4
31,TLMD183249899987,TLMD,4
31,TLMD183249893812,TLMD,4
31,9261290982842910209522,USPS,4
31,TLMD183249907182,TLMD,4
31,7.40044E+11,FDEG,4
31,7.40045E+11,FDEG,4
31,TLMD61949678260,TLMD,4
31,TLMD183249903266,TLMD,4
31,TLMD183249765684,TLMD,4
31,TLMD183249906192,TLMD,4
31,7.40045E+11,FDEG,4
31,TLMD183249905915,TLMD,4
31,TLMD61949676271,TLMD,4
31,TLMD61949770534,TLMD,4
31,7.40045E+11,FDEG,4
31,TLMD183249912514,TLMD,4
31,TLMD61949737562,TLMD,4
31,TLMD183249906638,TLMD,4
31,7.40045E+11,FDEG,4
31,7.40045E+11,FDEG,4
31,TLMD183249896435,TLMD,4
31,TLMD183249892626,TLMD,4
31,TLMD183249897498,TLMD,4
31,7.40045E+11,FDEG,4
31,9261290982842910209492,USPS,4
31,TLMD183249908403,TLMD,4
31,TLMD183249900803,TLMD,4
31,TLMD183249898620,TLMD,4
31,TLMD183249912818,TLMD,4
31,TLMD183249906236,TLMD,4
31,TLMD183249906601,TLMD,4
31,7.40045E+11,FDEG,4
31,7.40044E+11,FDEG,4
31,TLMD61949770632,TLMD,4
31,9261290982842910209553,USPS,4
31,TLMD183249918661,TLMD,4
31,TLMD183249897792,TLMD,4
31,7.40045E+11,FDEG,4
31,9261290982842910209515,USPS,4
31,TLMD183249902730,TLMD,4
31,TLMD183249914656,TLMD,4
31,TLMD183249901535,TLMD,4
31,TLMD183249896097,TLMD,4
31,1Z300FX3YW43259972,UPSN,4
31,TLMD61949678251,TLMD,4
31,TLMD183249902936,TLMD,4
31,TLMD61949770267,TLMD,4
31,TLMD183249884617,TLMD,4
31,TLMD183249882100,TLMD,4
31,1Z300FX3YW43259981,UPSN,4
31,TLMD183249913415,TLMD,4
31,TLMD183249912345,TLMD,4
31,TLMD183249899665,TLMD,4
31,TLMD61949711268,TLMD,4
31,7.40045E+11,FDEG,4
31,7.40045E+11,FDEG,4
31,TLMD183249905120,TLMD,4
31,TLMD183249909377,TLMD,4
32,TLMD183249881503,TLMD,5
32,TLMD183249713533,TLMD,5
32,TLMD183249880791,TLMD,5
32,1Z300FX3YW43259945,UPSN,5
32,1Z300FX3YW43259963,UPSN,5
32,TLMD183249899870,TLMD,5
32,TLMD183249751028,TLMD,5
32,TLMD183249749568,TLMD,5
32,TLMD183249706676,TLMD,5
32,7.40044E+11,FDEG,5
32,TLMD183249726216,TLMD,5
32,7.40044E+11,FDEG,5
32,TLMD183249726458,TLMD,5
32,9261290982842910209430,USPS,5
32,TLMD183249707942,TLMD,5
32,TLMD183249707648,TLMD,5
32,TLMD183249725879,TLMD,5
32,TLMD183249759495,TLMD,5
32,TLMD183249716192,TLMD,5
32,TLMD183249721882,TLMD,5
32,TLMD183249708343,TLMD,5
32,TLMD183249746267,TLMD,5
32,TLMD183249722185,TLMD,5
32,TLMD183249746865,TLMD,5
32,7.40044E+11,FDEG,5
32,7.40044E+11,FDEG,5
32,7.40044E+11,FDEG,5
32,1Z300FX3YW43259927,UPSN,5
32,TLMD183249724254,TLMD,5
32,7.40044E+11,FDEG,5
32,7.40044E+11,FDEG,5
32,TLMD183249882780,TLMD,5
32,TLMD183249707013,TLMD,5
32,7.40045E+11,FDEG,5
32,TLMD183249708263,TLMD,5
32,TLMD183249713300,TLMD,5
32,TLMD183249767655,TLMD,5
32,9261290982842910209461,USPS,5
32,TLMD183249756907,TLMD,5
32,7.40044E+11,FDEG,5
32,TLMD183249706443,TLMD,5
32,TLMD183249708432,TLMD,5
32,TLMD183249749853,TLMD,5
32,TLMD183249896980,TLMD,5
32,TLMD183249888926,TLMD,5
32,7.40044E+11,FDEG,5
32,TLMD183249758183,TLMD,5
32,7.40044E+11,FDEG,5
32,TLMD183249755711,TLMD,5
32,TLMD183249708816,TLMD,5
32,TLMD183249734252,TLMD,5
32,TLMD183249761348,TLMD,5
32,TLMD183249888042,TLMD,5
32,TLMD183249707782,TLMD,5
32,7.40044E+11,FDEG,5
32,7.40044E+11,FDEG,5
32,1Z300FX3YW43259954,UPSN,5
32,9261290982842910209485,USPS,5
32,TLMD183249734949,TLMD,5
32,TLMD183249715031,TLMD,5
32,7.40045E+11,FDEG,5
32,7.40044E+11,FDEG,5
32,TLMD183249887454,TLMD,5
32,TLMD183249758754,TLMD,5
32,TLMD183249726841,TLMD,5
32,TLMD183249707424,TLMD,5
32,TLMD183249748283,TLMD,5
32,TLMD183249708638,TLMD,5
32,7.40044E+11,FDEG,5
32,TLMD183249711642,TLMD,5
32,7.40044E+11,FDEG,5
32,7.40044E+11,FDEG,5
32,7.40044E+11,FDEG,5
32,TLMD183249757791,TLMD,5
32,TLMD183249708549,TLMD,5
32,TLMD183249764069,TLMD,5
32,7.40044E+11,FDEG,5
32,TLMD183249900527,TLMD,5
32,TLMD183249883298,TLMD,5
32,9261290982842910209447,USPS,5
32,1Z300FX3YW43259936,UPSN,5
32,TLMD183249885456,TLMD,5
32,7.40044E+11,FDEG,5
32,9261290982842910209478,USPS,5
32,7.40044E+11,FDEG,5
32,TLMD183249766352,TLMD,5
32,TLMD183249750663,TLMD,5
32,TLMD183249735733,TLMD,5
32,TLMD183249731068,TLMD,5
32,7.40044E+11,FDEG,5
32,TLMD183249750449,TLMD,5
32,TLMD183249882495,TLMD,5
32,TLMD183249898853,TLMD,5
33,7.40045E+11,FDEG,6
33,9261290982833610352946,USPS,6
33,TLMD144849832208,TLMD,6
33,TLMD144849848282,TLMD,6
33,TLMD144849876804,TLMD,6
33,TLMD144849885661,TLMD,6
33,9261290982833610352984,USPS,6
33,TLMD144849838364,TLMD,6
33,7.40045E+11,FDEG,6
33,TLMD144849874262,TLMD,6
33,TLMD144849884733,TLMD,6
33,TLMD144849883127,TLMD,6
33,9261290982833610352908,USPS,6
33,TLMD144849848791,TLMD,6
33,TLMD144849824539,TLMD,6
33,7.40045E+11,FDEG,6
33,TLMD144849846408,TLMD,6
33,1ZA086R7YW45523578,UPSN,6
33,TLMD144849837794,TLMD,6
33,TLMD144849888015,TLMD,6
33,7.40045E+11,FDEG,6
33,TLMD144849852928,TLMD,6
33,TLMD144849839541,TLMD,6
33,TLMD144849884402,TLMD,6
33,TLMD144849830282,TLMD,6
33,TLMD144849833314,TLMD,6
33,9261290982833610352977,USPS,6
33,TLMD144849823521,TLMD,6
33,TLMD144849830924,TLMD,6
33,TLMD144849826395,TLMD,6
33,TLMD144849879776,TLMD,6
33,9261290982833610352991,USPS,6
33,TLMD144849888435,TLMD,6
33,TLMD144849826000,TLMD,6
33,1ZA086R7YW45523587,UPSN,6
33,TLMD144849890842,TLMD,6
33,TLMD144849889381,TLMD,6
33,TLMD144849830648,TLMD,6
33,7.40045E+11,FDEG,6
33,TLMD144849842313,TLMD,6
33,1ZA086R70345523594,UPSN,6
33,7.40045E+11,FDEG,6
33,7.40045E+11,FDEG,6
33,7.40045E+11,FDEG,6
33,TLMD144849876359,TLMD,6
33,TLMD144849885107,TLMD,6
33,TLMD144849886713,TLMD,6
33,TLMD144849843527,TLMD,6
33,TLMD144849840600,TLMD,6
33,1ZA086R7YW45523569,UPSN,6
33,TLMD144849831870,TLMD,6
33,TLMD144849874913,TLMD,6
33,TLMD144849850886,TLMD,6
33,TLMD144849878535,TLMD,6
33,9261290982833610352960,USPS,6
33,TLMD144849886964,TLMD,6
33,TLMD144849849665,TLMD,6
33,TLMD144849845516,TLMD,6
33,TLMD144849877438,TLMD,6
33,9261290982833610352915,USPS,6
33,9261290982833610352939,USPS,6
33,7.40045E+11,FDEG,6
33,TLMD144849882271,TLMD,6
33,9261290982833610352922,USPS,6
33,7.40045E+11,FDEG,6
33,TLMD144849879276,TLMD,6
33,TLMD144849889729,TLMD,6
33,TLMD144849827492,TLMD,6
33,TLMD144849847541,TLMD,6
33,7.40045E+11,FDEG,6
33,9261290982833610352953,USPS,6
33,TLMD144849887123,TLMD,6
33,TLMD144849829310,TLMD,6
33,TLMD144849878259,TLMD,6
33,TLMD144849852320,TLMD,6
33,9261290982833610353004,USPS,6
33,TLMD144849849781,TLMD,6
33,TLMD144849877741,TLMD,6
33,7.40045E+11,FDEG,6
33,7.40045E+11,FDEG,6
34,TLMD144849725584,TLMD,7
34,TLMD144849790816,TLMD,7
34,7.40044E+11,FDEG,7
34,7.40044E+11,FDEG,7
34,TLMD144849690602,TLMD,7
34,7.40045E+11,FDEG,7
34,TLMD144849692824,TLMD,7
34,TLMD144849804711,TLMD,7
34,TLMD144849739220,TLMD,7
34,TLMD144849728885,TLMD,7
34,7.40044E+11,FDEG,7
34,7.40044E+11,FDEG,7
34,TLMD144849723157,TLMD,7
34,TLMD144849722149,TLMD,7
34,TLMD144849727813,TLMD,7
34,TLMD144849730612,TLMD,7
34,1ZA086R7YW45523550,UPSN,7
34,TLMD144849776323,TLMD,7
34,7.40044E+11,FDEG,7
34,7.40045E+11,FDEG,7
34,TLMD144849734770,TLMD,7
34,TLMD144849803365,TLMD,7
34,TLMD144849725191,TLMD,7
34,TLMD144849775922,TLMD,7
34,TLMD144849691209,TLMD,7
34,7.40045E+11,FDEG,7
34,7.40044E+11,FDEG,7
34,TLMD144849692066,TLMD,7
34,TLMD144849822282,TLMD,7
34,TLMD144849732147,TLMD,7
34,TLMD144849691889,TLMD,7
34,TLMD144849738203,TLMD,7
34,TLMD144849688473,TLMD,7
34,9261290982833610352823,USPS,7
34,7.40044E+11,FDEG,7
34,9261290982833610352892,USPS,7
34,TLMD144849823067,TLMD,7
34,1ZA086R7YW45523532,UPSN,7
34,7.40045E+11,FDEG,7
34,1ZA086R7YW45523523,UPSN,7
34,TLMD144849736303,TLMD,7
34,TLMD144849737811,TLMD,7
34,TLMD144849727500,TLMD,7
34,TLMD144849686386,TLMD,7
34,TLMD144849689114,TLMD,7
34,TLMD144849693298,TLMD,7
34,TLMD144849737473,TLMD,7
34,TLMD144849734921,TLMD,7
34,TLMD144849740174,TLMD,7
34,9261290982833610352878,USPS,7
34,7.40044E+11,FDEG,7
34,TLMD144849720516,TLMD,7
34,9261290982833610352861,USPS,7
34,TLMD144849724469,TLMD,7
34,TLMD144849806282,TLMD,7
34,7.40044E+11,FDEG,7
34,TLMD144849687634,TLMD,7
34,TLMD144849738552,TLMD,7
34,7.40044E+11,FDEG,7
34,TLMD144849779482,TLMD,7
34,9261290982833610352847,USPS,7
34,9261290982833610352816,USPS,7
34,9261290982833610352854,USPS,7
34,7.40044E+11,FDEG,7
34,TLMD144849739588,TLMD,7
34,TLMD144849720883,TLMD,7
34,TLMD144849766058,TLMD,7
34,TLMD144849727019,TLMD,7
34,TLMD144849688795,TLMD,7
34,9261290982833610352885,USPS,7
34,TLMD144849689543,TLMD,7
34,TLMD144849687947,TLMD,7
34,7.40044E+11,FDEG,7
34,TLMD144849738856,TLMD,7
34,1ZA086R7YW45523541,UPSN,7
34,TLMD144849724736,TLMD,7
34,TLMD144849739864,TLMD,7
34,TLMD144849731102,TLMD,7
34,TLMD144849722667,TLMD,7
34,TLMD144849694260,TLMD,7
34,9261290982833610352830,USPS,7
34,TLMD144849804159,TLMD,7
34,TLMD144849690942,TLMD,7
34,1ZA086R7YW45523514,UPSN,7
34,7.40044E+11,FDEG,7
34,7.40044E+11,FDEG,7
34,TLMD144849693850,TLMD,7
34,7.40044E+11,FDEG,7
34,TLMD144849778947,TLMD,7
34,TLMD144849721391,TLMD,7
34,7.40044E+11,FDEG,7
34,7.40044E+11,FDEG,7
68,TLMD231349835849,TLMD,8
68,TLMD231349835394,TLMD,8
68,7.40045E+11,FDEG,8
68,TLMD231349808833,TLMD,8
68,TLMD231349829972,TLMD,8
68,TLMD231349876920,TLMD,8
68,TLMD231349883270,TLMD,8
68,TLMD231349881389,TLMD,8
68,TLMD231349876519,TLMD,8
68,TLMD231349831638,TLMD,8
68,TLMD231349836491,TLMD,8
68,TLMD231349874931,TLMD,8
68,TLMD231349828615,TLMD,8
68,7.40045E+11,FDEG,8
68,7.40045E+11,FDEG,8
68,TLMD231349883654,TLMD,8
68,TLMD231349831192,TLMD,8
68,TLMD231349880228,TLMD,8
68,TLMD231349828562,TLMD,8
68,7.40045E+11,FDEG,8
68,TLMD231349873192,TLMD,8
68,TLMD231349800368,TLMD,8
68,7.40045E+11,FDEG,8
68,TLMD231349882244,TLMD,8
68,TLMD231349880960,TLMD,8
68,TLMD231349809163,TLMD,8
68,9261290982842510154789,USPS,8
68,TLMD231349885554,TLMD,8
68,TLMD231349830335,TLMD,8
68,TLMD231349770641,TLMD,8
68,TLMD231349838275,TLMD,8
68,TLMD231349877189,TLMD,8
68,TLMD231349827885,TLMD,8
68,7.40045E+11,FDEG,8
68,9261290982842510154772,USPS,8
68,TLMD231349837865,TLMD,8
68,TLMD231349892037,TLMD,8
68,TLMD231349830853,TLMD,8
68,TLMD231349883350,TLMD,8
68,TLMD231349829490,TLMD,8
68,TLMD231349889621,TLMD,8
68,TLMD231349761240,TLMD,8
68,TLMD231349891252,TLMD,8
68,TLMD231349837310,TLMD,8
68,9261290982842510154765,USPS,8
68,TLMD231349877492,TLMD,8
68,TLMD231349811187,TLMD,8
68,TLMD231349831165,TLMD,8
68,7.40045E+11,FDEG,8
68,7.40045E+11,FDEG,8
68,9261290982842510154758,USPS,8
68,1ZY8F922YW44045777,UPSN,8
68,7.40045E+11,FDEG,8
68,9261290982842510154796,USPS,8
68,TLMD231349832879,TLMD,8
69,7.40044E+11,FDEG,9
69,TLMD231349734869,TLMD,9
69,7.40044E+11,FDEG,9
69,TLMD231349743742,TLMD,9
69,TLMD231349808637,TLMD,9
69,TLMD231349782530,TLMD,9
69,7.40045E+11,FDEG,9
69,TLMD231349740594,TLMD,9
69,7.40044E+11,FDEG,9
69,TLMD231349805747,TLMD,9
69,TLMD231349744769,TLMD,9
69,7.40045E+11,FDEG,9
69,9261290982842510154697,USPS,9
69,TLMD231349802375,TLMD,9
69,TLMD231349811356,TLMD,9
69,TLMD231349764470,TLMD,9
69,TLMD231349762329,TLMD,9
69,TLMD231349735920,TLMD,9
69,TLMD231349812677,TLMD,9
69,TLMD231349750387,TLMD,9
69,9261290982842510154734,USPS,9
69,TLMD231349789551,TLMD,9
69,TLMD231349756630,TLMD,9
69,TLMD231349765148,TLMD,9
69,TLMD231349739882,TLMD,9
69,TLMD231349747168,TLMD,9
69,TLMD231349791780,TLMD,9
69,TLMD231349783584,TLMD,9
69,TLMD231349781835,TLMD,9
69,TLMD231349735519,TLMD,9
69,TLMD231349804631,TLMD,9
69,TLMD231349780587,TLMD,9
69,7.40044E+11,FDEG,9
69,7.40045E+11,FDEG,9
69,TLMD231349749933,TLMD,9
69,TLMD231349793108,TLMD,9
69,7.40045E+11,FDEG,9
69,TLMD231349749264,TLMD,9
69,TLMD231349805541,TLMD,9
69,7.40045E+11,FDEG,9
69,TLMD231349763864,TLMD,9
69,TLMD231349761508,TLMD,9
69,TLMD231349804202,TLMD,9
69,7.40045E+11,FDEG,9
69,9261290982842510154680,USPS,9
69,TLMD231349777359,TLMD,9
69,TLMD231349810482,TLMD,9
69,TLMD231349801223,TLMD,9
69,TLMD231349747542,TLMD,9
69,TLMD231349767093,TLMD,9
69,7.40044E+11,FDEG,9
69,7.40045E+11,FDEG,9
69,TLMD231349746187,TLMD,9
69,7.40044E+11,FDEG,9
69,7.40045E+11,FDEG,9
69,TLMD231349762776,TLMD,9
69,TLMD231349813256,TLMD,9
69,TLMD231349779286,TLMD,9
69,7.40045E+11,FDEG,9
69,TLMD231349813658,TLMD,9
69,9261290982842510154703,USPS,9
69,7.40045E+11,FDEG,9
69,TLMD231349792967,TLMD,9
69,1ZY8F922YW44045759,UPSN,9
69,TLMD231349760947,TLMD,9
69,TLMD231349761446,TLMD,9
69,TLMD231349801849,TLMD,9
69,9261290982842510154642,USPS,9
69,9261290982842510154666,USPS,9
69,9261290982842510154673,USPS,9
69,7.40044E+11,FDEG,9
69,TLMD231349812211,TLMD,9
69,TLMD231349762856,TLMD,9
69,7.40045E+11,FDEG,9
69,TLMD231349779651,TLMD,9
69,7.40045E+11,FDEG,9
69,TLMD231349768421,TLMD,9
69,TLMD231349746856,TLMD,9
69,7.40044E+11,FDEG,9
69,7.40045E+11,FDEG,9
69,TLMD231349788178,TLMD,9
69,9261290982842510154741,USPS,9
69,7.40044E+11,FDEG,9
69,TLMD231349776896,TLMD,9
69,9261290982842510154635,USPS,9
69,TLMD231349740030,TLMD,9
69,TLMD231349739686,TLMD,9
69,1ZY8F9220344045766,UPSN,9
69,TLMD231349735199,TLMD,9
69,TLMD231349809001,TLMD,9
69,1ZY8F922YW44045731,UPSN,9
69,TLMD231349798854,TLMD,9
69,TLMD231349757139,TLMD,9
69,TLMD231349814817,TLMD,9
69,1ZY8F922YW44045740,UPSN,9
69,7.40045E+11,FDEG,9
69,TLMD231349786974,TLMD,9
69,TLMD231349741146,TLMD,9
69,TLMD231349800411,TLMD,9
69,TLMD231349745884,TLMD,9
69,TLMD231349800859,TLMD,9
69,TLMD231349756023,TLMD,9
69,TLMD231349787697,TLMD,9
69,TLMD231349765906,TLMD,9
69,TLMD231349741673,TLMD,9
69,TLMD231349760545,TLMD,9
69,9261290982842510154659,USPS,9
69,TLMD231349734029,TLMD,9
69,TLMD231349802133,TLMD,9
69,TLMD231349768001,TLMD,9
69,7.40045E+11,FDEG,9
69,9261290982842510154710,USPS,9
69,7.40045E+11,FDEG,9
69,TLMD231349748318,TLMD,9
69,TLMD231349744385,TLMD,9
69,TLMD231349805434,TLMD,9
69,TLMD231349748667,TLMD,9
69,TLMD231349743304,TLMD,9
69,7.40044E+11,FDEG,9
69,9261290982842510154727,USPS,9
69,TLMD231349750163,TLMD,9
69,TLMD231349748998,TLMD,9
69,TLMD231349801189,TLMD,9
69,TLMD231349739337,TLMD,9
69,TLMD231349778714,TLMD,9
70,9261290982825530508138,USPS,10
70,TLMD549951722,TLMD,10
70,TLMD549958029,TLMD,10
70,7.40045E+11,FDEG,10
70,TLMD549956414,TLMD,10
70,TLMD549934876,TLMD,10
70,7.40045E+11,FDEG,10
70,9261290982825530508046,USPS,10
70,TLMD549948834,TLMD,10
70,TLMD549927151,TLMD,10
70,TLMD549954461,TLMD,10
70,TLMD549935384,TLMD,10
70,TLMD549918590,TLMD,10
70,TLMD549959788,TLMD,10
70,TLMD549885018,TLMD,10
70,TLMD549911444,TLMD,10
70,TLMD549883243,TLMD,10
70,9261290982825530508060,USPS,10
70,9261290982825530508114,USPS,10
70,TLMD549897096,TLMD,10
70,TLMD549912149,TLMD,10
70,TLMD549956683,TLMD,10
70,TLMD549889274,TLMD,10
70,7.40045E+11,FDEG,10
70,TLMD549913620,TLMD,10
70,TLMD549885778,TLMD,10
70,TLMD549915664,TLMD,10
70,TLMD549917902,TLMD,10
70,TLMD549949397,TLMD,10
70,9261290982825530508121,USPS,10
70,9261290982825530508084,USPS,10
70,TLMD549934545,TLMD,10
70,TLMD549878937,TLMD,10
70,TLMD549865012,TLMD,10
70,9261290982825530508022,USPS,10
70,9261290982825530508039,USPS,10
70,TLMD549887561,TLMD,10
70,7.40045E+11,FDEG,10
70,TLMD549900385,TLMD,10
70,TLMD549944061,TLMD,10
70,9261290982825530508053,USPS,10
70,TLMD549934312,TLMD,10
70,TLMD549909117,TLMD,10
70,TLMD549947175,TLMD,10
70,TLMD549870800,TLMD,10
70,1ZY8F6710343751355,UPSN,10
70,TLMD549895703,TLMD,10
70,TLMD549932083,TLMD,10
70,TLMD549957173,TLMD,10
70,TLMD549956781,TLMD,10
70,7.40045E+11,FDEG,10
70,1ZY8F671YW43751348,UPSN,10
70,9261290982825530508008,USPS,10
70,TLMD549955022,TLMD,10
70,1ZY8F671YW43751384,UPSN,10
70,TLMD549959546,TLMD,10
70,TLMD549932654,TLMD,10
70,TLMD549924887,TLMD,10
70,TLMD549910883,TLMD,10
70,TLMD549901704,TLMD,10
70,TLMD549935722,TLMD,10
70,TLMD549881003,TLMD,10
70,7.40045E+11,FDEG,10
70,TLMD549955102,TLMD,10
70,TLMD549957333,TLMD,10
70,TLMD549935697,TLMD,10
70,TLMD549870079,TLMD,10
70,TLMD549959313,TLMD,10
71,TLMD549929275,TLMD,11
71,7.40045E+11,FDEG,11
71,7.40045E+11,FDEG,11
71,TLMD549955424,TLMD,11
71,7.40045E+11,FDEG,11
71,TLMD549953328,TLMD,11
71,1ZY8F671YW43751339,UPSN,11
71,TLMD549937613,TLMD,11
71,9261290982825530508091,USPS,11
71,TLMD549889765,TLMD,11
71,TLMD549955577,TLMD,11
71,TLMD549932985,TLMD,11
71,TLMD549873496,TLMD,11
71,TLMD549871863,TLMD,11
71,7.40045E+11,FDEG,11
71,1ZY8F671YW43751311,UPSN,11
71,9261290982825530507995,USPS,11
71,TLMD549872657,TLMD,11
71,TLMD549890502,TLMD,11
71,1ZY8F671YW43751375,UPSN,11
71,TLMD549954425,TLMD,11
71,TLMD549925251,TLMD,11
71,7.40045E+11,FDEG,11
71,7.40045E+11,FDEG,11
71,1ZY8F671YW43751320,UPSN,11
71,9261290982825530508107,USPS,11
71,9261290982825530507988,USPS,11
71,7.40045E+11,FDEG,11
71,TLMD549864059,TLMD,11
71,7.40045E+11,FDEG,11
71,7.40045E+11,FDEG,11
71,TLMD549938765,TLMD,11
71,TLMD549958083,TLMD,11
71,TLMD549935277,TLMD,11
71,9261290982825530508077,USPS,11
71,TLMD549868859,TLMD,11
71,TLMD549868242,TLMD,11
71,TLMD549867654,TLMD,11
71,7.40045E+11,FDEG,11
71,TLMD549936687,TLMD,11
71,7.40045E+11,FDEG,11
71,1ZY8F6710343751364,UPSN,11
71,9261290982825530508015,USPS,11
71,7.40045E+11,FDEG,11
71,TLMD549874226,TLMD,11
71,1ZY8F671YW43751302,UPSN,11
73,7.40045E+11,FDEG,12
